IP地址	数据中心	地区	城市	网络延迟
104.18.178.201	HKG	亚太地区	香港	48 ms
104.17.186.161	HKG	亚太地区	香港	50 ms
104.17.55.17	HKG	亚太地区	香港	50 ms
104.17.178.202	HKG	亚太地区	香港	51 ms
104.17.185.173	HKG	亚太地区	香港	51 ms
104.16.1.128	HKG	亚太地区	香港	52 ms
104.17.212.9	HKG	亚太地区	香港	52 ms
104.19.215.128	HKG	亚太地区	香港	52 ms
104.17.192.71	HKG	亚太地区	香港	52 ms
162.159.35.107	HKG	亚太地区	香港	53 ms
104.17.62.116	HKG	亚太地区	香港	53 ms
104.18.186.230	HKG	亚太地区	香港	53 ms
104.19.144.247	HKG	亚太地区	香港	53 ms
104.19.146.177	HKG	亚太地区	香港	53 ms
104.18.188.211	HKG	亚太地区	香港	53 ms
104.19.213.169	HKG	亚太地区	香港	53 ms
162.159.43.137	HKG	亚太地区	香港	54 ms
104.17.219.222	HKG	亚太地区	香港	54 ms
104.17.190.182	HKG	亚太地区	香港	54 ms
104.17.183.110	HKG	亚太地区	香港	54 ms
104.18.149.87	HKG	亚太地区	香港	54 ms
104.17.196.49	HKG	亚太地区	香港	54 ms
198.41.209.18	HKG	亚太地区	香港	54 ms
104.17.97.173	HKG	亚太地区	香港	54 ms
104.17.171.47	HKG	亚太地区	香港	55 ms
104.17.204.188	HKG	亚太地区	香港	55 ms
104.17.189.85	HKG	亚太地区	香港	55 ms
104.18.64.123	HKG	亚太地区	香港	55 ms
104.18.165.61	HKG	亚太地区	香港	55 ms
104.18.150.149	HKG	亚太地区	香港	55 ms
104.16.255.59	HKG	亚太地区	香港	55 ms
104.17.221.173	HKG	亚太地区	香港	55 ms
104.18.157.91	HKG	亚太地区	香港	55 ms
104.18.148.108	HKG	亚太地区	香港	56 ms
104.25.241.113	HKG	亚太地区	香港	56 ms
104.19.212.175	HKG	亚太地区	香港	56 ms
104.18.147.121	HKG	亚太地区	香港	56 ms
104.16.15.169	HKG	亚太地区	香港	56 ms
104.17.180.145	HKG	亚太地区	香港	56 ms
104.17.101.183	HKG	亚太地区	香港	56 ms
104.18.155.14	HKG	亚太地区	香港	56 ms
104.17.165.121	HKG	亚太地区	香港	56 ms
104.19.217.111	HKG	亚太地区	香港	56 ms
104.17.136.202	HKG	亚太地区	香港	56 ms
104.16.7.243	HKG	亚太地区	香港	56 ms
104.17.201.17	HKG	亚太地区	香港	56 ms
104.18.83.80	HKG	亚太地区	香港	56 ms
104.16.243.31	HKG	亚太地区	香港	57 ms
104.17.104.48	HKG	亚太地区	香港	57 ms
104.18.70.215	HKG	亚太地区	香港	57 ms
104.18.235.26	HKG	亚太地区	香港	57 ms
104.17.60.51	HKG	亚太地区	香港	57 ms
104.16.3.189	HKG	亚太地区	香港	57 ms
104.17.179.85	HKG	亚太地区	香港	57 ms
104.25.250.142	HKG	亚太地区	香港	57 ms
104.17.50.158	HKG	亚太地区	香港	57 ms
104.18.179.62	HKG	亚太地区	香港	57 ms
104.17.211.247	HKG	亚太地区	香港	58 ms
104.17.187.92	HKG	亚太地区	香港	58 ms
104.17.132.248	HKG	亚太地区	香港	58 ms
104.19.220.86	HKG	亚太地区	香港	58 ms
104.19.211.141	HKG	亚太地区	香港	58 ms
104.18.163.46	HKG	亚太地区	香港	58 ms
104.16.10.160	HKG	亚太地区	香港	58 ms
104.17.191.207	HKG	亚太地区	香港	58 ms
104.18.91.40	HKG	亚太地区	香港	58 ms
104.25.249.151	HKG	亚太地区	香港	58 ms
104.19.155.248	HKG	亚太地区	香港	58 ms
104.17.175.133	HKG	亚太地区	香港	58 ms
104.18.66.33	HKG	亚太地区	香港	58 ms
104.16.0.197	HKG	亚太地区	香港	58 ms
104.18.181.69	HKG	亚太地区	香港	58 ms
104.25.245.223	HKG	亚太地区	香港	59 ms
104.18.146.63	HKG	亚太地区	香港	59 ms
104.17.166.20	HKG	亚太地区	香港	59 ms
104.17.134.67	HKG	亚太地区	香港	59 ms
104.17.206.215	HKG	亚太地区	香港	59 ms
104.18.191.105	HKG	亚太地区	香港	59 ms
104.18.94.111	HKG	亚太地区	香港	59 ms
104.17.195.136	HKG	亚太地区	香港	59 ms
104.18.225.17	HKG	亚太地区	香港	59 ms
104.18.154.219	HKG	亚太地区	香港	59 ms
104.17.168.201	HKG	亚太地区	香港	59 ms
104.17.217.197	HKG	亚太地区	香港	59 ms
104.17.207.211	HKG	亚太地区	香港	59 ms
104.16.251.67	HKG	亚太地区	香港	59 ms
104.18.153.216	HKG	亚太地区	香港	59 ms
104.17.51.16	HKG	亚太地区	香港	60 ms
104.16.242.232	HKG	亚太地区	香港	60 ms
104.18.160.16	HKG	亚太地区	香港	60 ms
104.17.143.202	HKG	亚太地区	香港	60 ms
104.19.149.120	HKG	亚太地区	香港	60 ms
104.17.140.117	HKG	亚太地区	香港	60 ms
104.17.199.107	HKG	亚太地区	香港	60 ms
104.16.245.100	HKG	亚太地区	香港	60 ms
104.17.103.102	HKG	亚太地区	香港	60 ms
104.18.89.164	HKG	亚太地区	香港	60 ms
104.17.188.59	HKG	亚太地区	香港	60 ms
104.17.170.88	HKG	亚太地区	香港	60 ms
104.17.56.175	HKG	亚太地区	香港	60 ms
104.18.152.154	HKG	亚太地区	香港	61 ms
104.17.163.176	HKG	亚太地区	香港	61 ms
104.18.68.180	HKG	亚太地区	香港	61 ms
104.18.169.86	HKG	亚太地区	香港	61 ms
104.18.170.116	HKG	亚太地区	香港	61 ms
104.18.84.252	HKG	亚太地区	香港	61 ms
104.18.93.40	HKG	亚太地区	香港	61 ms
104.16.252.154	HKG	亚太地区	香港	61 ms
104.17.173.3	HKG	亚太地区	香港	62 ms
190.93.244.25	HKG	亚太地区	香港	62 ms
190.93.246.142	HKG	亚太地区	香港	62 ms
104.17.131.34	HKG	亚太地区	香港	62 ms
104.25.243.17	HKG	亚太地区	香港	62 ms
104.18.167.234	HKG	亚太地区	香港	62 ms
104.18.226.176	HKG	亚太地区	香港	62 ms
104.19.158.12	HKG	亚太地区	香港	62 ms
104.16.250.208	HKG	亚太地区	香港	62 ms
104.17.58.101	HKG	亚太地区	香港	62 ms
104.18.190.143	HKG	亚太地区	香港	62 ms
104.17.133.97	HKG	亚太地区	香港	63 ms
104.25.252.245	HKG	亚太地区	香港	63 ms
104.19.147.224	HKG	亚太地区	香港	63 ms
104.17.99.93	HKG	亚太地区	香港	63 ms
198.41.208.66	HKG	亚太地区	香港	63 ms
104.18.166.1	HKG	亚太地区	香港	63 ms
104.18.151.90	HKG	亚太地区	香港	63 ms
104.17.59.223	HKG	亚太地区	香港	63 ms
104.17.216.38	HKG	亚太地区	香港	63 ms
141.101.115.238	HKG	亚太地区	香港	63 ms
104.18.230.150	HKG	亚太地区	香港	64 ms
104.17.215.46	HKG	亚太地区	香港	64 ms
104.19.148.6	HKG	亚太地区	香港	64 ms
104.19.159.111	HKG	亚太地区	香港	64 ms
172.64.153.127	HKG	亚太地区	香港	64 ms
104.18.227.91	HKG	亚太地区	香港	64 ms
104.16.6.244	HKG	亚太地区	香港	64 ms
104.19.210.53	HKG	亚太地区	香港	64 ms
104.18.174.208	HKG	亚太地区	香港	64 ms
104.25.247.8	HKG	亚太地区	香港	64 ms
104.18.162.246	HKG	亚太地区	香港	64 ms
104.16.246.204	HKG	亚太地区	香港	65 ms
190.93.245.155	HKG	亚太地区	香港	65 ms
104.17.161.43	HKG	亚太地区	香港	65 ms
108.162.198.102	HKG	亚太地区	香港	65 ms
104.18.65.31	HKG	亚太地区	香港	65 ms
104.18.90.216	HKG	亚太地区	香港	65 ms
104.18.88.106	HKG	亚太地区	香港	65 ms
104.18.87.36	HKG	亚太地区	香港	65 ms
104.17.205.135	HKG	亚太地区	香港	65 ms
104.18.168.255	HKG	亚太地区	香港	65 ms
104.17.110.9	HKG	亚太地区	香港	66 ms
104.17.142.248	HKG	亚太地区	香港	66 ms
172.64.146.210	HKG	亚太地区	香港	66 ms
104.17.208.14	HKG	亚太地区	香港	66 ms
104.17.223.64	HKG	亚太地区	香港	66 ms
104.17.53.75	HKG	亚太地区	香港	66 ms
104.17.203.229	HKG	亚太地区	香港	66 ms
104.17.174.129	HKG	亚太地区	香港	66 ms
104.19.208.194	HKG	亚太地区	香港	66 ms
104.17.172.201	HKG	亚太地区	香港	66 ms
104.17.54.94	HKG	亚太地区	香港	66 ms
104.19.222.108	HKG	亚太地区	香港	66 ms
104.17.135.198	HKG	亚太地区	香港	66 ms
104.18.82.159	HKG	亚太地区	香港	67 ms
104.25.244.150	HKG	亚太地区	香港	67 ms
104.17.193.32	HKG	亚太地区	香港	67 ms
104.17.218.9	HKG	亚太地区	香港	67 ms
104.18.73.166	HKG	亚太地区	香港	67 ms
104.17.164.53	HKG	亚太地区	香港	67 ms
162.159.34.137	HKG	亚太地区	香港	67 ms
162.159.60.180	HKG	亚太地区	香港	67 ms
104.19.154.113	HKG	亚太地区	香港	67 ms
104.17.176.99	HKG	亚太地区	香港	67 ms
104.16.8.144	HKG	亚太地区	香港	67 ms
104.25.253.196	HKG	亚太地区	香港	67 ms
104.18.180.2	HKG	亚太地区	香港	67 ms
104.25.246.85	HKG	亚太地区	香港	67 ms
104.18.79.15	HKG	亚太地区	香港	67 ms
104.18.175.36	HKG	亚太地区	香港	68 ms
104.19.214.163	HKG	亚太地区	香港	68 ms
104.16.244.197	HKG	亚太地区	香港	68 ms
104.19.157.78	HKG	亚太地区	香港	68 ms
104.17.49.158	HKG	亚太地区	香港	68 ms
